,l1,l2,l3,l4,l5,l6
195,819,736,677,1083,1379,1119
196,822,735,683,1085,1377,1125
197,822,733,679,1084,1382,1123
198,816,730,687,1082,1382,1130
199,820,731,683,1088,1387,1121
200,823,736,685,1087,1379,1129
201,823,735,677,1085,1373,1124
202,826,731,682,1083,1381,1125
203,823,734,676,1076,1379,1123
204,818,724,678,1077,1383,1125
205,818,730,675,1088,1379,1126
206,818,738,677,1074,1379,1119
207,819,730,679,1086,1381,1121
208,819,733,683,1085,1381,1125
209,822,733,677,1079,1381,1122
210,817,725,688,1075,1379,1123
211,819,733,679,1082,1378,1125
212,819,731,679,1079,1376,1124
213,820,728,682,1078,1381,1123
214,817,733,672,1078,1384,1127
215,816,733,686,1078,1375,1123
216,820,730,675,1086,1378,1123
217,821,729,688,1082,1389,1125
218,821,732,688,1087,1383,1129
219,819,731,686,1075,1381,1131
220,819,733,682,1088,1383,1127
221,819,737,686,1088,1381,1118
222,829,736,688,1087,1383,1125
223,829,735,678,1088,1388,1132
224,826,735,682,1085,1381,1127
225,827,736,689,1086,1387,1136
226,826,734,678,1079,1379,1122
227,827,737,685,1081,1383,1133
228,826,736,689,1089,1382,1123
229,823,736,683,1087,1390,1121
230,826,739,686,1083,1379,1121
231,828,738,688,1085,1387,1133
232,827,739,688,1084,1391,1129
233,823,737,687,1085,1389,1128
234,824,735,688,1089,1380,1126
235,829,741,683,1083,1379,1125
236,829,737,679,1083,1382,1127
237,823,734,688,1091,1373,1127
238,827,729,688,1086,1382,1134
239,829,737,686,1088,1379,1125
240,828,736,686,1083,1377,1129
241,831,737,679,1086,1385,1133
242,827,738,685,1089,1383,1127
243,829,736,688,1088,1379,1130
244,829,733,687,1088,1386,1125
245,828,733,675,1087,1387,1126
246,829,735,683,1088,1381,1135
247,826,736,683,1086,1387,1127
248,827,737,681,1085,1383,1131
249,827,736,688,1085,1385,1133
250,827,738,686,1087,1382,1131
251,829,733,687,1087,1386,1131
252,822,734,685,1086,1385,1127
253,831,736,687,1087,1387,1132
254,826,738,688,1083,1390,1130
255,829,735,683,1081,1386,1129
256,827,736,679,1089,1380,1126
257,825,733,685,1088,1381,1122
258,825,738,675,1088,1389,1132
259,829,738,687,1088,1382,1133
260,832,733,688,1095,1370,1130
261,827,740,679,1085,1390,1133
262,823,738,684,1086,1385,1127
263,826,735,688,1088,1381,1127
264,826,738,686,1088,1387,1129
265,832,736,686,1088,1390,1131
266,829,738,675,1088,1387,1131
267,830,739,685,1087,1385,1128
268,833,737,683,1089,1386,1132
269,825,736,683,1082,1387,1130
270,830,737,682,1087,1388,1130
271,829,739,688,1088,1385,1131
272,829,734,687,1079,1382,1136
273,833,739,687,1087,1381,1123
274,822,741,686,1094,1392,1131
275,826,739,683,1089,1391,1135
276,828,737,685,1083,1386,1126
277,832,740,688,1088,1385,1136
278,832,737,691,1078,1387,1127
279,831,740,688,1087,1391,1131
280,826,740,688,1083,1383,1131
281,832,739,683,1090,1390,1143
282,832,736,689,1089,1379,1129
283,831,738,686,1088,1386,1131
284,826,736,688,1088,1381,1126
285,826,741,675,1083,1382,1129
286,829,737,688,1081,1390,1133
287,829,739,682,1088,1383,1129
288,827,737,687,1083,1388,1129
289,831,739,686,1085,1383,1126
290,831,738,677,1088,1387,1125
291,836,739,686,1093,1385,1129
292,827,737,693,1088,1390,1131
293,830,737,687,1089,1387,1135
294,831,739,687,1085,1386,1128
295,831,738,687,1091,1386,1130
296,832,737,685,1089,1382,1134
297,835,737,688,1089,1385,1136
298,832,739,688,1088,1383,1129
299,832,739,687,1075,1381,1134
300,831,736,686,1090,1385,1135
301,831,737,691,1090,1388,1129
302,832,739,687,1088,1389,1130
303,831,737,688,1089,1385,1127
304,831,737,682,1086,1389,1120
305,834,739,688,1086,1387,1129
306,832,739,685,1085,1389,1126
307,833,738,688,1086,1385,1132
308,831,739,690,1079,1390,1131
309,829,739,682,1087,1383,1132
310,830,739,685,1088,1409,1134
311,828,739,688,1088,1389,1133
312,832,741,688,1095,1389,1133
313,834,738,688,1083,1388,1131
314,839,741,688,1085,1388,1133
315,834,743,693,1093,1387,1135
316,836,743,689,1089,1381,1136
317,835,741,691,1094,1385,1135
318,831,742,691,1093,1390,1138
319,842,745,686,1088,1389,1136
320,837,742,691,1095,1392,1136
321,839,746,690,1095,1385,1136
322,838,745,686,1093,1390,1135
323,843,745,698,1091,1392,1135
324,837,743,691,1089,1391,1136
325,844,746,697,1101,1394,1136
326,845,749,690,1090,1391,1136
327,846,747,695,1094,1390,1120
328,843,745,695,1088,1392,1116
329,844,743,677,1085,1371,1121
330,842,730,682,1072,1377,1117
331,815,729,675,1079,1373,1119
332,813,731,682,1075,1376,1125
333,815,733,674,1086,1374,1129
334,818,730,683,1076,1370,1127
335,815,730,687,1086,1387,1125
336,814,735,679,1087,1386,1125
337,820,732,677,1086,1381,1125
338,825,736,683,1082,1381,1123
339,820,735,687,1088,1389,1118
340,819,737,679,1087,1386,1122
341,822,738,673,1071,1387,1118
342,827,723,669,1075,1377,1115
343,812,727,673,1072,1376,1117
344,810,722,674,1069,1383,1124
345,804,722,678,1072,1387,1121
346,805,723,672,1072,1383,1122
347,805,722,674,1083,1388,1123
348,798,725,674,1074,1385,1109
349,807,726,673,1073,1383,1122
350,810,720,671,1075,1385,1122
351,807,720,673,1073,1390,1121
352,807,722,658,1072,1385,1114
353,813,720,673,1066,1389,1118
354,810,721,671,1072,1387,1119
355,799,721,673,1072,1385,1124
356,803,721,666,1077,1395,1119
357,798,722,673,1072,1385,1117
358,803,723,656,1076,1387,1118
359,802,720,672,1072,1387,1117
360,802,720,670,1068,1386,1119
361,798,720,671,1072,1383,1118
362,798,717,669,1071,1379,1110
363,794,719,662,1070,1376,1118
364,794,720,666,1071,1387,1111
365,795,720,668,1069,1386,1113
366,801,719,667,1071,1382,1116
367,793,718,661,1067,1382,1113
368,799,720,666,1071,1383,1113
369,787,720,664,1070,1383,1109
370,785,715,658,1059,1386,1110
371,785,718,662,1064,1382,1115
372,790,715,659,1070,1388,1114
373,786,717,660,1063,1383,1116
374,786,717,659,1070,1387,1109
375,790,717,656,1062,1387,1113
376,789,717,660,1067,1388,1113
377,790,720,659,1065,1387,1115
378,791,717,662,1067,1390,1123
379,790,717,662,1070,1383,1113
380,791,713,659,1067,1381,1121
381,784,714,662,1072,1383,1113
382,790,717,661,1070,1383,1112
383,791,707,662,1057,1378,1110
384,787,717,656,1061,1387,1118
385,787,710,657,1062,1387,1111
386,784,711,656,1069,1381,1108
387,784,715,662,1067,1381,1107
388,784,714,658,1058,1385,1106
389,784,707,657,1062,1375,1111
390,784,714,660,1065,1380,1107
391,784,715,657,1061,1385,1107
392,784,714,660,1061,1375,1108
393,784,709,656,1062,1376,1106
394,784,711,662,1065,1373,1104
395,784,715,659,1065,1375,1105
396,783,713,656,1065,1374,1102
397,784,714,667,1059,1375,1106
398,783,714,657,1055,1378,1101
399,785,708,656,1055,1375,1109
400,784,713,656,1057,1376,1113
401,783,709,661,1056,1377,1106
402,786,713,657,1058,1379,1105
403,784,713,663,1070,1374,1110
404,784,711,663,1068,1374,1106
405,784,715,656,1060,1373,1104
406,785,710,661,1064,1381,1110
407,784,713,656,1061,1378,1103
408,784,711,656,1056,1376,1107
409,783,702,666,1061,1374,1113
410,780,714,657,1067,1372,1111
411,786,713,661,1061,1373,1112
412,790,715,657,1063,1377,1133
413,783,710,659,1071,1397,1133
414,787,719,688,1089,1395,1135
415,785,736,686,1088,1397,1134
416,827,736,685,1088,1399,1127
417,827,737,686,1091,1403,1135
418,829,739,686,1095,1395,1122
419,830,729,671,1073,1392,1131
420,826,725,681,1086,1404,1136
421,809,734,686,1090,1392,1136
422,821,739,688,1087,1399,1129
423,828,741,685,1089,1395,1136
424,827,739,688,1094,1397,1130
425,831,741,682,1093,1396,1133
426,829,736,685,1091,1399,1133
427,827,735,687,1092,1393,1129
428,826,733,690,1090,1399,1133
429,827,736,688,1092,1393,1127
430,828,737,688,1087,1391,1130
431,825,735,686,1089,1398,1132
432,826,733,682,1094,1392,1130
433,826,736,681,1087,1399,1134
434,827,737,682,1083,1401,1123
435,821,736,688,1087,1397,1134
436,821,735,682,1084,1392,1132
437,822,738,689,1082,1393,1136
438,820,733,678,1085,1395,1142
439,820,738,688,1088,1395,1136
440,823,737,687,1088,1403,1131
441,827,739,686,1091,1398,1133
442,826,737,684,1090,1398,1135
443,827,737,683,1088,1395,1132
444,826,736,687,1088,1402,1134
445,827,738,683,1089,1394,1133
446,817,729,688,1085,1402,1133
447,830,731,688,1086,1394,1133
448,823,739,683,1088,1396,1133
449,830,730,682,1094,1392,1132
450,828,740,679,1093,1398,1134
451,830,735,683,1089,1392,1131
452,820,735,677,1090,1395,1136
453,826,735,682,1090,1393,1127
454,820,734,683,1088,1397,1128
455,825,735,686,1091,1392,1135
456,823,737,689,1087,1400,1136
457,823,737,673,1088,1391,1136
458,827,738,688,1092,1399,1136
459,830,736,686,1089,1395,1133
460,825,736,679,1092,1407,1135
461,829,736,689,1096,1395,1227
462,827,740,784,1196,1487,1222
463,826,832,787,1191,1486,1223
464,1007,832,784,1196,1487,1223
465,1008,833,787,1199,1488,1221
466,1007,832,781,1198,1477,1227
467,1007,835,785,1195,1484,1130
468,1003,833,671,1087,1393,1123
469,1008,724,671,1079,1392,1131
470,815,726,682,1088,1395,1121
471,814,726,672,1086,1397,1128
472,816,727,672,1084,1397,1125
473,815,730,682,1082,1393,1131
474,815,734,685,1091,1401,1131
475,819,736,683,1090,1399,1134
476,827,737,687,1093,1399,1136
477,830,735,689,1088,1403,1134
478,826,737,688,1088,1403,1136
479,826,740,685,1091,1399,1135
480,830,734,689,1094,1403,1132
481,826,740,685,1089,1398,1133
482,830,741,689,1086,1394,1135
483,830,736,688,1089,1392,1134
484,831,738,687,1093,1391,1126
485,830,738,689,1091,1393,1131
486,827,738,684,1089,1392,1127
487,830,737,689,1089,1393,1129
488,830,738,683,1087,1394,1131
489,826,739,683,1088,1399,1130
490,829,735,686,1089,1390,1127
491,827,737,683,1088,1393,1133
492,830,736,685,1088,1392,1133
493,830,739,688,1087,1391,1130
494,830,735,688,1092,1384,1131
495,827,739,688,1091,1392,1131
496,829,734,685,1087,1392,1134
497,835,739,688,1091,1395,1136
498,829,738,688,1088,1396,1133
499,831,739,686,1095,1395,1133
500,828,738,687,1091,1392,1136
501,830,740,691,1088,1397,1129
502,827,736,686,1089,1390,1136
503,832,743,688,1087,1391,1136
504,831,741,688,1093,1392,1136
505,834,742,688,1092,1399,1137
506,835,747,691,1091,1392,1131
507,839,746,689,1088,1392,1130
508,838,735,686,1090,1391,1130
509,833,741,688,1091,1391,1135
510,832,740,689,1090,1394,1136
511,831,739,688,1091,1392,1134
512,833,741,690,1095,1392,1136
513,836,743,689,1089,1402,1131
514,835,738,688,1091,1392,1134
515,832,741,688,1088,1396,1125
516,835,742,688,1092,1392,1133
517,833,737,685,1088,1387,1134
518,837,737,689,1096,1395,1135
519,833,738,691,1093,1392,1133
520,833,738,687,1092,1392,1136
521,827,739,688,1088,1387,1134
522,830,741,688,1090,1392,1135
523,831,739,689,1094,1394,1136
524,832,741,683,1086,1396,1136
525,830,739,688,1087,1391,1136
526,829,741,689,1090,1395,1134
527,833,739,686,1092,1392,1130
528,831,736,687,1091,1392,1128
529,832,739,687,1086,1392,1131
530,835,738,687,1090,1392,1135
531,826,735,688,1088,1392,1129
532,827,734,682,1088,1391,1136
533,830,737,677,1090,1392,1130
534,832,735,685,1085,1389,1129
535,831,737,688,1086,1394,1136
536,823,737,688,1095,1394,1129
537,831,732,684,1090,1398,1131
538,830,736,687,1089,1393,1130
539,831,739,686,1088,1393,1129
540,831,735,688,1088,1401,1127
541,832,738,682,1088,1397,1131
542,827,738,681,1089,1392,1130
543,827,736,684,1087,1392,1131
544,829,739,681,1088,1393,1135
545,823,739,685,1093,1395,1133
546,823,736,688,1091,1395,1130
547,823,737,687,1095,1401,1134
548,827,738,681,1083,1394,1134
549,826,737,682,1087,1397,1133
550,823,735,690,1089,1400,1130
551,832,738,687,1088,1401,1136
552,826,740,686,1087,1403,1136
553,827,738,683,1087,1403,1134
554,829,735,675,1087,1396,1134
555,825,734,685,1092,1398,1135
556,830,736,687,1090,1398,1130
557,823,727,677,1089,1408,1124
558,825,732,682,1087,1397,1125
559,821,736,678,1079,1394,1132
560,825,729,674,1087,1392,1131
561,819,735,675,1084,1392,1125
562,817,727,672,1089,1396,1125
563,816,731,679,1083,1393,1131
564,821,734,677,1082,1397,1125
565,821,733,667,1072,1392,1117
566,823,723,670,1072,1392,1133
567,2094,720,679,1087,1399,1130
568,2129,735,679,1076,1396,1117
569,2162,722,671,1076,1388,1129
570,2163,720,662,1071,1396,1130
571,2171,719,673,1083,1394,1369
572,2167,727,976,1349,1619,1370
573,816,899,996,1360,1623,1245
574,1042,1015,849,1229,1502,1242
575,1190,1015,798,1211,1498,1351
576,1200,848,905,1325,1601,1229
577,1054,841,782,1209,1488,1346
578,1040,832,771,1207,1602,1346
579,1040,827,949,1327,1597,1232
580,1019,976,966,1331,1505,1232
581,1159,983,781,1203,1488,1227
582,1168,835,767,1191,1484,1343
583,1039,816,937,1317,1599,1343
584,1013,961,959,1317,1594,1227
585,1134,976,786,1200,1488,1223
586,1156,847,770,1188,1474,1334
587,1166,818,918,1317,1589,1342
588,1015,960,946,1313,1586,1221
589,1007,967,944,1214,1479,1218
590,1146,973,769,1196,1486,1333
591,1155,819,768,1298,1587,1332
592,1017,816,937,1309,1584,1216
593,1007,966,941,1319,1471,1335
594,1140,970,929,1303,1584,1216
595,1154,955,762,1172,1460,1200
596,1136,810,761,1169,1462,1200
597,970,807,752,1168,1456,1204
598,971,810,759,1169,1459,1095
599,971,813,762,1165,1461,1095
600,967,812,653,1042,1370,1095
601,966,699,643,1050,1364,1101
602,1994,697,653,1038,1371,1097
603,1995,701,646,1045,1377,1083
604,2000,693,640,1034,1355,1082
605,2002,685,640,1023,1354,1086
606,2000,688,635,1023,1360,1221
607,2004,687,803,1185,1485,1094
608,745,848,656,1062,1375,1093
609,930,850,629,1051,1367,1225
610,958,688,788,1182,1481,1232
611,782,685,807,1190,1507,1118
612,765,848,844,1219,1395,1115
613,938,880,654,1077,1383,1245
614,978,713,647,1064,1488,1249
615,816,706,829,1213,1511,1125
616,799,865,832,1219,1508,1207
617,945,877,656,1071,1465,1313
618,974,716,931,1301,1582,1209
619,832,960,771,1193,1471,1207
620,1126,825,759,1178,1466,1250
621,1045,816,815,1213,1494,1250
622,989,861,824,1215,1505,1318
623,793,870,663,1078,1467,1326
624,957,735,917,1300,1579,1211
625,980,947,830,1191,1471,1190
626,1119,956,762,1185,1477,1321
627,1136,813,752,1296,1575,1326
628,999,806,917,1296,1579,1217
629,986,944,927,1297,1503,1206
630,1122,957,752,1184,1469,1201
631,1132,816,749,1165,1456,1197
632,1006,799,752,1168,1459,1193
633,957,789,752,1159,1457,1191
634,953,800,752,1155,1465,1197
635,949,799,745,1163,1456,1195
636,950,800,750,1155,1456,1198
637,949,795,752,1162,1460,1193
638,2039,803,752,1159,1460,1191
639,2059,801,752,1156,1460,1193
640,2064,801,749,1161,1459,1098
641,2074,800,647,1040,1374,1088
642,2083,801,644,1035,1361,1238
643,2092,689,823,1202,1501,1113
644,752,867,670,1077,1389,1113
645,946,875,647,1072,1383,1239
646,978,704,778,1200,1499,1108
647,803,694,816,1072,1386,1243
648,783,864,641,1173,1507,1234
649,954,700,817,1204,1498,1119
650,784,858,818,1210,1399,1105
651,943,867,645,1066,1385,1242
652,970,702,641,1069,1488,1216
653,806,693,816,1181,1479,1219
654,784,857,785,1179,1483,1098
655,935,838,626,1050,1367,1095
656,930,693,630,1045,1367,1215
657,839,679,778,1168,1477,1216
658,774,826,786,1178,1484,1088
659,751,830,643,1046,1361,1104
660,917,713,625,1043,1365,1213
661,940,679,619,1170,1473,1217
662,770,675,784,1168,1480,1095
663,753,826,784,1084,1361,1091
664,906,830,625,1038,1360,1206
665,929,677,622,1165,1469,1089
666,778,677,625,1045,1361,1071
667,754,678,618,1010,1354,1072
668,785,674,613,1009,1346,1073
669,720,667,617,1003,1347,1072
670,717,668,619,999,1344,1072
671,716,665,624,1007,1348,1071
672,714,671,615,1003,1331,1067
673,720,663,607,1004,1346,1071
674,1987,661,613,1005,1351,1067
675,2000,667,608,1008,1346,1083
676,2016,667,614,1007,1349,1068
677,2025,665,618,1008,1347,1069
678,2032,669,611,1007,1349,1201
679,2037,670,777,1161,1472,1083
680,713,821,637,1040,1360,1087
681,903,823,607,1040,1357,1201
682,925,678,759,1157,1473,1208
683,766,673,783,1162,1477,1099
684,746,820,795,1195,1391,1087
685,903,833,620,1047,1365,1207
686,933,677,617,1035,1456,1233
687,771,672,805,1186,1495,1097
688,752,848,781,1179,1468,1088
689,925,819,624,1037,1361,1086
690,912,677,622,1037,1363,1207
691,784,675,765,1153,1467,1202
692,757,816,769,1163,1469,1087
693,741,817,627,1045,1360,1087
694,899,713,619,1045,1363,1310
695,925,675,789,1183,1569,1204
696,761,682,753,1180,1471,1311
697,770,808,752,1285,1569,1312
698,987,801,903,1293,1575,1211
699,976,940,911,1219,1478,1204
700,1104,945,754,1177,1472,1313
701,1118,809,747,1178,1577,1209
702,993,804,759,1180,1472,1199
703,976,812,745,1166,1457,1199
704,1006,795,741,1159,1458,1200
705,949,799,741,1158,1456,1190
706,944,795,746,1157,1458,1200
707,945,799,738,1155,1456,1187
708,944,800,747,1154,1456,1195
709,944,800,738,1175,1456,1193
710,1588,794,749,1155,1454,1194
711,1794,795,749,1152,1456,1190
712,1905,795,745,1153,1458,1195
713,1970,795,743,1154,1457,1187
714,2015,795,743,1156,1461,1193
715,2044,795,745,1158,1456,1189
716,2128,791,742,1155,1454,1196
717,2128,787,742,1158,1456,1195
718,2126,794,747,1152,1455,1207
719,1840,791,758,1178,1473,1313
720,1017,807,816,1286,1568,1313
721,997,803,908,1296,1579,1214
722,987,940,912,1202,1479,1207
723,1109,944,753,1179,1474,1313
724,1125,806,752,1264,1568,1312
725,999,801,895,1291,1574,1227
726,985,938,912,1296,1583,1215
727,1104,946,758,1186,1477,1222
728,1120,816,759,1178,1473,1313
729,1011,802,896,1295,1571,1211
730,989,931,910,1291,1579,1313
731,1104,945,896,1291,1579,1314
732,1117,922,911,1293,1575,1211
733,977,944,769,1185,1485,1205
734,1109,890,749,1179,1470,1311
735,1122,806,880,1284,1574,1211
736,985,803,909,1287,1580,1200
737,976,942,752,1179,1472,1200
738,1107,805,759,1162,1459,1197
739,977,798,742,1162,1466,1195
740,950,800,747,1161,1457,1197
741,944,798,752,1157,1461,1191
742,946,799,749,1159,1456,1194
743,945,800,751,1156,1458,1193
744,947,797,753,1161,1457,1200
745,945,799,751,1153,1460,1195
746,946,799,750,1158,1456,1197
747,945,799,752,1157,1456,1074
748,948,797,749,1155,1456,1073
749,950,797,611,1008,1346,1081
750,944,670,622,1023,1357,1079
751,720,680,618,1015,1361,1089
752,731,675,634,1023,1363,1095
753,727,708,638,1040,1374,1075
754,735,1247,640,1040,1370,1074
755,751,1722,623,1011,1353,1072
756,752,2451,615,1004,1351,1072
757,718,2453,619,1008,1354,1081
758,720,2458,622,1016,1355,1073
759,715,2463,615,1012,1359,1078
760,725,2473,623,1013,1354,1078
761,720,2476,623,1006,1352,1091
762,721,676,625,1042,1370,1092
763,720,688,650,1055,1370,1094
764,799,815,766,1154,1400,1199
765,912,813,771,1152,1463,1098
766,898,805,763,1158,1379,1094
767,897,805,770,1152,1413,1202
768,890,810,759,1157,1469,1200
769,901,814,762,1153,1466,1196
770,901,811,755,1147,1469,1197
771,889,800,620,1043,1468,1095
772,752,675,622,1042,1373,1097
773,758,677,766,1070,1382,1200
774,766,816,762,1159,1471,1197
775,911,812,759,1152,1458,1200
776,899,807,755,1143,1466,1195
777,881,803,651,1147,1462,1093
778,877,675,621,1035,1360,1090
779,752,677,649,1054,1361,1095
780,755,813,766,1158,1406,1195
781,912,806,758,1148,1467,1198
782,897,809,758,1151,1463,1194
783,887,803,750,1152,1466,1193
784,877,791,623,1035,1463,1188
785,749,675,753,1142,1466,1073
786,751,1987,618,1021,1360,1077
787,877,2097,619,1015,1356,1074
788,720,2203,622,1008,1357,1074
789,719,2278,624,1005,1360,1078
790,719,2324,617,1007,1358,1075
791,720,2363,615,1008,1360,1072
792,718,2537,625,1017,1360,1079
793,726,2544,624,1019,1359,1080
794,721,2483,622,1011,1358,1200
795,722,1183,630,1040,1367,1107
796,725,686,631,1043,1392,1215
797,759,687,905,1277,1493,1311
798,775,937,896,1279,1567,1306
799,1098,935,896,1278,1571,1307
800,1101,929,884,1281,1571,1307
801,1101,923,759,1241,1575,1214
802,983,815,752,1186,1481,1216
803,991,814,901,1196,1490,1245
804,998,939,903,1282,1579,1322
805,1114,928,887,1280,1565,1308
806,1107,934,887,1283,1569,1307
807,1104,927,880,1281,1574,1213
808,1099,811,769,1184,1479,1215
809,990,811,777,1195,1488,1216
810,1010,939,900,1289,1495,1310
811,1118,934,903,1290,1571,1310
